epoch,train_loss,valid_loss,tone_train_acc,tone_valid_acc,pinyin_train_acc,pinyin_valid_acc
0,5.844323493600861,4.672339108682448,0.9574441313743591,0.9913617968559265,0.012068089097738266,0.04471544548869133
1,3.021974617872781,2.1542009826629394,0.9960619807243347,0.9959349632263184,0.23666158318519592,0.3836382031440735
2,1.2498786967944324,1.0654821915011252,0.997459352016449,0.997459352016449,0.6218242049217224,0.6737805008888245
3,0.5372545635554848,0.6637733857477864,0.9982215166091919,0.9969512224197388,0.8448932766914368,0.7881097793579102
4,0.2708581586375954,0.5230173197004103,0.9988567233085632,0.9989837408065796,0.9268292784690857,0.8495935201644897
5,0.13208903190566273,0.37652077093239755,0.9997459053993225,0.9984756112098694,0.9715447425842285,0.889735758304596
6,0.0671242739384373,0.30516272651091697,0.9997459053993225,0.9989837408065796,0.988567054271698,0.9115853905677795
7,0.03778299233096281,0.2900569157734994,1.0,0.9989837408065796,0.9956808686256409,0.917682945728302
8,0.020549808736754265,0.24911834828315244,0.9996188879013062,0.9989837408065796,0.9992377758026123,0.9314024448394775
9,0.017521332549991282,0.2430337276910582,0.9994918704032898,0.9989837408065796,0.9993648529052734,0.9303861856460571
10,0.009632058236255818,0.23015677874847765,1.0,0.9989837408065796,1.0,0.934959352016449
11,0.007622090428575449,0.22009424006025638,1.0,0.9989837408065796,1.0,0.9375
12,0.006007541662907395,0.21776492136620706,1.0,0.9989837408065796,1.0,0.9375
13,0.005048880621419872,0.22102016685230116,1.0,0.9989837408065796,1.0,0.9344512224197388
14,0.004677508634465891,0.2211606263393356,1.0,0.9994918704032898,1.0,0.9375
15,0.00400137692847009,0.21564498225287085,1.0,0.9989837408065796,1.0,0.9354674816131592
16,0.0036224513338326014,0.2158648518304671,1.0,0.9989837408065796,1.0,0.9380081295967102
17,0.0031408799648459064,0.2168393661418269,1.0,0.9989837408065796,1.0,0.9390243887901306
18,0.00336216019449483,0.21558888382729022,0.9998729825019836,0.9994918704032898,1.0,0.9385162591934204
19,0.003081466310290332,0.22086224320434755,1.0,0.9989837408065796,1.0,0.9354674816131592
20,0.003039197303918834,0.22503891190694225,1.0,0.9989837408065796,0.9998729825019836,0.9354674816131592
21,0.003977645061270341,0.2221000838063417,0.9997459053993225,0.9994918704032898,1.0,0.9380081295967102
22,0.0022886667818936514,0.21976657097618427,1.0,0.9994918704032898,1.0,0.9405487775802612
23,0.0020981927880756104,0.2135431255784727,1.0,0.9994918704032898,1.0,0.9385162591934204
24,0.0018496582200807497,0.21277160311658536,1.0,0.9994918704032898,1.0,0.9380081295967102
25,0.0017391698159527306,0.2146869360304047,1.0,0.9994918704032898,1.0,0.9410569071769714
26,0.0016159950424273445,0.20872778974233136,1.0,0.9994918704032898,1.0,0.9395325183868408
27,0.0015206451611063344,0.21281605754648486,1.0,0.9994918704032898,1.0,0.9385162591934204
28,0.0014246364996760962,0.21271726588207868,1.0,0.9994918704032898,1.0,0.940040647983551
29,0.0013670948325993297,0.215684367914594,1.0,0.9994918704032898,1.0,0.9390243887901306
