epoch,train_loss,valid_loss,train_acc,valid_acc
0,0.09561794857107428,0.020704676648752102,0.9683688879013062,0.997459352016449
1,0.021808180829549845,0.010575426098864315,0.9951727390289307,0.9984756112098694
2,0.02129796675161025,0.024832233045374102,0.9950457215309143,0.9933943152427673
3,0.007964319542713006,0.017213332557847964,0.9987296462059021,0.9979674816131592
4,0.005075266974587081,0.010672030092410427,0.9994918704032898,0.9979674816131592
5,0.007675552762018155,0.028684823562563848,0.9980944991111755,0.9939024448394775
6,0.005398855283224626,0.011034088335720534,0.9992377758026123,0.9994918704032898
7,0.005691306018608027,0.009505884517150866,0.9989837408065796,0.9994918704032898
8,0.0030179191575115975,0.008198296343336199,0.9992377758026123,0.9994918704032898
9,0.0029235002775582935,0.013514207972254935,0.9993648529052734,0.997459352016449
10,0.0016107604566554725,0.009950430035264763,0.9997459053993225,0.9994918704032898
11,0.00065414148498182,0.012011953139056957,0.9998729825019836,0.997459352016449
12,0.0009327324678488958,0.010969678776621462,0.9998729825019836,0.9994918704032898
13,0.0003023211478522888,0.010647802398649776,1.0,0.9994918704032898
14,0.0002919700791243101,0.01018598309683365,1.0,0.9994918704032898
15,0.0001504017764604236,0.010481615461632402,1.0,0.9994918704032898
16,0.00018104842873421282,0.010503065315263837,0.9998729825019836,0.9994918704032898
17,0.000852198357874822,0.008774418207512128,0.9998729825019836,0.9994918704032898
18,0.0009298689112969944,0.01170935162302143,0.9998729825019836,0.9994918704032898
19,0.00019585120067430086,0.011090919081977386,1.0,0.9989837408065796
20,9.63160372162004e-05,0.010579420758918354,1.0,0.9994918704032898
21,0.00012098913941757729,0.010790599793948778,1.0,0.9994918704032898
22,9.703454097617613e-05,0.011445582688259771,1.0,0.9994918704032898
23,7.642795739224223e-05,0.010037115590511158,1.0,0.9994918704032898
24,3.5948519057714794e-05,0.00975235391147964,1.0,0.9994918704032898
25,7.67283909474936e-05,0.010557403532415367,1.0,0.9994918704032898
26,6.227980177448082e-05,0.00995502820171348,1.0,0.9994918704032898
27,4.573061956402557e-05,0.009994726579741327,1.0,0.9994918704032898
28,5.8760326361731293e-05,0.009889190090065553,1.0,0.9994918704032898
29,3.666444568386712e-05,0.010610790038475487,1.0,0.9994918704032898
